"Befolkning efter region, utbildningsnivå och år"
"0763 Tingsryd" "eftergymnasial utbildning, 3 år eller mer" 573 705 834 936
"0764 Alvesta" "eftergymnasial utbildning, 3 år eller mer" 960 1226 1432 1623
"0765 Älmhult" "eftergymnasial utbildning, 3 år eller mer" 930 1204 1511 1782
"0767 Markaryd" "eftergymnasial utbildning, 3 år eller mer" 330 451 514 590
"0780 Växjö" "eftergymnasial utbildning, 3 år eller mer" 8630 10735 12266 13865
"0781 Ljungby" "eftergymnasial utbildning, 3 år eller mer" 1507 1867 2201 2417
"0821 Högsby" "eftergymnasial utbildning, 3 år eller mer" 240 306 365 420
"0834 Torsås" "eftergymnasial utbildning, 3 år eller mer" 353 443 517 581
"0840 Mörbylånga" "eftergymnasial utbildning, 3 år eller mer" 1060 1298 1645 1925
"0860 Hultsfred" "eftergymnasial utbildning, 3 år eller mer" 587 717 788 893
"0861 Mönsterås" "eftergymnasial utbildning, 3 år eller mer" 668 848 943 1068
"0862 Emmaboda" "eftergymnasial utbildning, 3 år eller mer" 455 559 634 683
"0880 Kalmar" "eftergymnasial utbildning, 3 år eller mer" 6459 7897 8716 9762
"0881 Nybro" "eftergymnasial utbildning, 3 år eller mer" 967 1236 1431 1600
"0882 Oskarshamn" "eftergymnasial utbildning, 3 år eller mer" 1589 1964 2186 2445
"0883 Västervik" "eftergymnasial utbildning, 3 år eller mer" 2370 2788 3265 3608
"0884 Vimmerby" "eftergymnasial utbildning, 3 år eller mer" 728 911 1029 1155
"0885 Borgholm" "eftergymnasial utbildning, 3 år eller mer" 734 893 1038 1108
"0980 Gotland" "eftergymnasial utbildning, 3 år eller mer" 4503 5417 6203 6909
"1060 Olofström" "eftergymnasial utbildning, 3 år eller mer" 574 688 733 843
"1080 Karlskrona" "eftergymnasial utbildning, 3 år eller mer" 6350 7595 9004 9711
"1081 Ronneby" "eftergymnasial utbildning, 3 år eller mer" 2159 2530 2813 2890
"1082 Karlshamn" "eftergymnasial utbildning, 3 år eller mer" 2189 2698 3093 3469
"1083 Sölvesborg" "eftergymnasial utbildning, 3 år eller mer" 1007 1258 1434 1615
"1214 Svalöv" "eftergymnasial utbildning, 3 år eller mer" 786 974 1109 1287
"1230 Staffanstorp" "eftergymnasial utbildning, 3 år eller mer" 2227 2647 3215 3689
"1231 Burlöv" "eftergymnasial utbildning, 3 år eller mer" 1084 1316 1639 1933
"1233 Vellinge" "eftergymnasial utbildning, 3 år eller mer" 4010 4677 5368 5960
"1256 Östra Göinge" "eftergymnasial utbildning, 3 år eller mer" 627 759 877 1045
"1257 Örkelljunga" "eftergymnasial utbildning, 3 år eller mer" 450 565 670 759
"1260 Bjuv" "eftergymnasial utbildning, 3 år eller mer" 454 584 732 837
"1261 Kävlinge" "eftergymnasial utbildning, 3 år eller mer" 2308 3165 3911 4336
"1262 Lomma" "eftergymnasial utbildning, 3 år eller mer" 2887 3633 4564 5298
"1263 Svedala" "eftergymnasial utbildning, 3 år eller mer" 1372 1750 2185 2446
"1264 Skurup" "eftergymnasial utbildning, 3 år eller mer" 825 1085 1242 1438
"1265 Sjöbo" "eftergymnasial utbildning, 3 år eller mer" 853 1153 1422 1567
"1266 Hörby" "eftergymnasial utbildning, 3 år eller mer" 771 1045 1239 1356
