"Sammanräknad förvärvsinkomst, medianinkomst för boende i Sverige den 31/12, tkr efter region, ålder och år"

"region" "ålder" "2002" "2006" "2010" "2014"
"0881 Nybro" "totalt 20+ år" 173.9 192.8 205.8 225.0
"0882 Oskarshamn" "totalt 20+ år" 189.3 212.0 239.0 266.1
"0883 Västervik" "totalt 20+ år" 174.0 192.2 212.9 231.7
"0884 Vimmerby" "totalt 20+ år" 176.7 198.4 218.6 241.5
"0885 Borgholm" "totalt 20+ år" 153.9 175.1 197.4 211.7
"0980 Gotland" "totalt 20+ år" 169.1 188.5 209.0 227.6
"1060 Olofström" "totalt 20+ år" 183.4 201.7 211.2 228.4
"1080 Karlskrona" "totalt 20+ år" 182.4 203.7 221.9 244.7
"1081 Ronneby" "totalt 20+ år" 172.8 195.9 210.7 229.5
"1082 Karlshamn" "totalt 20+ år" 180.0 200.7 219.6 236.2
"1083 Sölvesborg" "totalt 20+ år" 176.5 196.0 212.9 233.5
"1214 Svalöv" "totalt 20+ år" 176.6 194.6 216.9 236.2
"1230 Staffanstorp" "totalt 20+ år" 208.6 230.5 257.4 285.2
"1231 Burlöv" "totalt 20+ år" 180.6 197.3 210.5 228.9
"1233 Vellinge" "totalt 20+ år" 214.5 237.6 265.6 293.5
"1256 Östra Göinge" "totalt 20+ år" 178.4 198.6 212.3 223.5
"1257 Örkelljunga" "totalt 20+ år" 166.5 185.8 198.2 214.3
"1260 Bjuv" "totalt 20+ år" 180.2 194.9 209.7 228.9
"1261 Kävlinge" "totalt 20+ år" 199.2 223.5 255.6 281.6
"1262 Lomma" "totalt 20+ år" 216.0 246.5 284.0 318.1
"1263 Svedala" "totalt 20+ år" 200.7 222.0 252.0 278.1
"1264 Skurup" "totalt 20+ år" 175.1 196.0 218.8 243.6
"1265 Sjöbo" "totalt 20+ år" 164.8 185.5 212.0 232.7
"1266 Hörby" "totalt 20+ år" 164.9 185.7 208.5 232.4
"1267 Höör" "totalt 20+ år" 175.0 198.1 225.2 250.0
"1270 Tomelilla" "totalt 20+ år" 162.4 181.4 200.5 220.3
"1272 Bromölla" "totalt 20+ år" 184.2 203.2 217.3 234.6
"1273 Osby" "totalt 20+ år" 174.0 192.3 210.7 224.6
"1275 Perstorp" "totalt 20+ år" 173.8 187.4 192.0 207.2
"1276 Klippan" "totalt 20+ år" 168.0 185.9 202.4 218.9
"1277 Åstorp" "totalt 20+ år" 176.6 195.3 209.1 226.3
"1278 Båstad" "totalt 20+ år" 172.3 192.4 218.5 238.6
"1280 Malmö" "totalt 20+ år" 161.3 176.7 185.1 207.1
"1281 Lund" "totalt 20+ år" 178.1 199.2 216.4 234.6
"1282 Landskrona" "totalt 20+ år" 168.2 184.6 200.3 218.0
"1283 Helsingborg" "totalt 20+ år" 178.9 200.3 219.5 239.2
"1284 Höganäs" "totalt 20+ år" 186.5 208.3 233.9 258.8
"1285 Eslöv" "totalt 20+ år" 178.5 198.5 220.7 245.4
"1286 Ystad" "totalt 20+ år" 176.2 198.9 222.2 245.1
"1287 Trelleborg" "totalt 20+ år" 177.4 197.1 219.3 239.1
"1290 Kristianstad" "totalt 20+ år" 178.0 199.4 217.6 235.3
"1291 Simrishamn" "totalt 20+ år" 165.5 183.5 201.3 219.0
"1292 Ängelholm" "totalt 20+ år" 181.3 202.7 228.8 253.2
"1293 Hässleholm" "totalt 20+ år" 169.8 191.6 207.0 224.5
"1315 Hylte" "totalt 20+ år" 176.6 198.2 219.9 238.2
"1380 Halmstad" "totalt 20+ år" 177.4 201.5 225.8 247.5
"1381 Laholm" "totalt 20+ år" 167.1 190.3 213.0 235.6
"1382 Falkenberg" "totalt 20+ år" 171.7 195.0 221.2 245.6
"1383 Varberg" "totalt 20+ år" 177.1 203.1 231.4 260.1
"1384 Kungsbacka" "totalt 20+ år" 209.0 237.0 266.4 298.1
"1401 Härryda" "totalt 20+ år" 211.5 237.8 270.4 304.0
"1402 Partille" "totalt 20+ år" 206.6 231.2 258.6 290.0
"1407 Öckerö" "totalt 20+ år" 196.1 223.7 249.0 278.1
"1415 Stenungsund" "totalt 20+ år" 201.5 225.6 253.1 285.5
"1419 Tjörn" "totalt 20+ år" 192.5 215.1 243.7 270.6
"1421 Orust" "totalt 20+ år" 180.7 203.9 225.5 245.8
"1427 Sotenäs" "totalt 20+ år" 177.6 200.8 226.4 250.2
"1430 Munkedal" "totalt 20+ år" 168.6 190.4 206.6 225.8
"1435 Tanum" "totalt 20+ år" 166.8 190.5 206.8 230.5
"1438 Dals-Ed" "totalt 20+ år" 166.3 181.7 192.2 206.3
