"region" "ålder" "år"
"0188 Norrtälje" "25-34 år" 5482 5045 5082 5794
"0188 Norrtälje" "35-44 år" 7339 7357 6734 5971
"0188 Norrtälje" "45-54 år" 7170 7140 7588 8037
"0188 Norrtälje" "55-64 år" 7732 8625 8071 7582
"0191 Sigtuna" "25-34 år" 5025 4653 4906 6000
"0191 Sigtuna" "35-44 år" 5723 6105 5993 6100
"0191 Sigtuna" "45-54 år" 4680 4719 5613 6410
"0191 Sigtuna" "55-64 år" 4488 4528 4301 4526
"0192 Nynäshamn" "25-34 år" 2966 2595 2410 2807
"0192 Nynäshamn" "35-44 år" 3523 3731 3695 3401
"0192 Nynäshamn" "45-54 år" 3351 3246 3567 3890
"0192 Nynäshamn" "55-64 år" 3506 3756 3542 3266
"0305 Håbo" "25-34 år" 2490 2106 1813 1896
"0305 Håbo" "35-44 år" 2815 3237 3335 3000
"0305 Håbo" "45-54 år" 2338 2160 2603 3038
"0305 Håbo" "55-64 år" 2611 2810 2436 2124
"0319 Älvkarleby" "25-34 år" 936 854 809 829
"0319 Älvkarleby" "35-44 år" 1295 1302 1216 1094
"0319 Älvkarleby" "45-54 år" 1265 1268 1262 1288
"0319 Älvkarleby" "55-64 år" 1217 1351 1345 1273
"0330 Knivsta" "25-34 år" 1480 1513 1519 1664
"0330 Knivsta" "35-44 år" 2037 2263 2499 2676
"0330 Knivsta" "45-54 år" 1898 1773 1924 2237
"0330 Knivsta" "55-64 år" 1452 1767 1750 1576
"0331 Heby" "25-34 år" 1213 1140 1157 1313
"0331 Heby" "35-44 år" 1894 1745 1536 1380
"0331 Heby" "45-54 år" 1911 1897 1918 1868
"0331 Heby" "55-64 år" 1770 1880 1910 1905
"0360 Tierp" "25-34 år" 2163 1872 1843 2128
"0360 Tierp" "35-44 år" 2658 2694 2521 2304
"0360 Tierp" "45-54 år" 2627 2572 2700 2751
"0360 Tierp" "55-64 år" 2653 2896 2784 2599
"0380 Uppsala" "25-34 år" 29746 29752 31703 34607
"0380 Uppsala" "35-44 år" 24343 24873 25881 26201
"0380 Uppsala" "45-54 år" 23553 22566 23624 24627
"0380 Uppsala" "55-64 år" 20070 22935 22971 22255
"0381 Enköping" "25-34 år" 4353 3906 3812 4421
"0381 Enköping" "35-44 år" 5383 5585 5505 5031
"0381 Enköping" "45-54 år" 5034 5042 5509 5716
"0381 Enköping" "55-64 år" 4999 5446 5241 5057
"0382 Östhammar" "25-34 år" 2205 1888 1838 2079
"0382 Östhammar" "35-44 år" 2867 2761 2518 2251
"0382 Östhammar" "45-54 år" 3174 2897 2908 2848
"0382 Östhammar" "55-64 år" 2994 3381 3259 2998
"0428 Vingåker" "25-34 år" 945 815 720 741
"0428 Vingåker" "35-44 år" 1198 1226 1077 972
"0428 Vingåker" "45-54 år" 1281 1220 1201 1178
"0428 Vingåker" "55-64 år" 1290 1405 1372 1245
"0461 Gnesta" "25-34 år" 1000 982 960 1007
"0461 Gnesta" "35-44 år" 1346 1384 1395 1356
"0461 Gnesta" "45-54 år" 1427 1321 1341 1411
"0461 Gnesta" "55-64 år" 1408 1588 1525 1376
"0480 Nyköping" "25-34 år" 5394 5295 5503 6063
"0480 Nyköping" "35-44 år" 6527 6577 6424 6217
"0480 Nyköping" "45-54 år" 6692 6412 6776 6957
"0480 Nyköping" "55-64 år" 6870 7380 6947 6597
"0481 Oxelösund" "25-34 år" 1029 1018 1058 1165
"0481 Oxelösund" "35-44 år" 1426 1387 1255 1279
"0481 Oxelösund" "45-54 år" 1618 1504 1478 1467
"0481 Oxelösund" "55-64 år" 1856 1853 1718 1585
"0482 Flen" "25-34 år" 1535 1349 1240 1346
"0482 Flen" "35-44 år" 2136 2051 1844 1685
"0482 Flen" "45-54 år" 2377 2184 2153 2145
"0482 Flen" "55-64 år" 2417 2653 2515 2306
"0483 Katrineholm" "25-34 år" 3575 3184 3163 3666
"0483 Katrineholm" "35-44 år" 4245 4145 4062 3669
"0483 Katrineholm" "45-54 år" 4442 4222 4233 4306
"0483 Katrineholm" "55-64 år" 4004 4533 4412 4234
"0484 Eskilstuna" "25-34 år" 11306 11078 11496 12722
"0484 Eskilstuna" "35-44 år" 12466 12905 12908 12415
"0484 Eskilstuna" "45-54 år" 11918 11526 12580 13568
"0484 Eskilstuna" "55-64 år" 11826 12760 12082 11497
"0486 Strängnäs" "25-34 år" 3253 3151 3038 3310
"0486 Strängnäs" "35-44 år" 4211 4374 4545 4349
"0486 Strängnäs" "45-54 år" 4252 4131 4297 4668
"0486 Strängnäs" "55-64 år" 4092 4620 4433 4172
"0488 Trosa" "25-34 år" 1139 1037 943 1010
"0488 Trosa" "35-44 år" 1459 1614 1628 1488
"0488 Trosa" "45-54 år" 1562 1370 1465 1592
"0488 Trosa" "55-64 år" 1600 1884 1772 1546
"0509 Ödeshög" "25-34 år" 530 489 426 430
"0509 Ödeshög" "35-44 år" 658 666 631 583
"0509 Ödeshög" "45-54 år" 786 689 675 678
"0509 Ödeshög" "55-64 år" 762 874 833 758
"0512 Ydre" "25-34 år" 362 318 278 337
"0512 Ydre" "35-44 år" 463 436 422 380
"0512 Ydre" "45-54 år" 567 500 484 445
"0512 Ydre" "55-64 år" 565 622 594 555
