region,parti,procent
0126 Huddinge,Sverigedemokraterna,2.7
0126 Huddinge,övriga partier,2.3
0126 Huddinge,ogiltiga valsedlar,..
0126 Huddinge,ej röstande,..
0127 Botkyrka,Moderaterna,27
0127 Botkyrka,Centerpartiet,3.3
0127 Botkyrka,Folkpartiet,7.7
0127 Botkyrka,Kristdemokraterna,6.7
0127 Botkyrka,Miljöpartiet,5.4
0127 Botkyrka,Socialdemokraterna,38.4
0127 Botkyrka,Vänsterpartiet,7.2
0127 Botkyrka,Sverigedemokraterna,2.2
0127 Botkyrka,övriga partier,2.1
0127 Botkyrka,ogiltiga valsedlar,..
0127 Botkyrka,ej röstande,..
0128 Salem,Moderaterna,35.5
0128 Salem,Centerpartiet,4.9
0128 Salem,Folkpartiet,9.6
0128 Salem,Kristdemokraterna,6.4
0128 Salem,Miljöpartiet,5.8
0128 Salem,Socialdemokraterna,28.8
0128 Salem,Vänsterpartiet,4.1
0128 Salem,Sverigedemokraterna,2.6
0128 Salem,övriga partier,2.3
0128 Salem,ogiltiga valsedlar,..
0128 Salem,ej röstande,..
0136 Haninge,Moderaterna,32.6
0136 Haninge,Centerpartiet,3.9
0136 Haninge,Folkpartiet,7.9
0136 Haninge,Kristdemokraterna,5.9
0136 Haninge,Miljöpartiet,5.5
0136 Haninge,Socialdemokraterna,33.3
0136 Haninge,Vänsterpartiet,5.9
0136 Haninge,Sverigedemokraterna,2.3
0136 Haninge,övriga partier,2.8
0136 Haninge,ogiltiga valsedlar,..
0136 Haninge,ej röstande,..
0138 Tyresö,Moderaterna,38.6
0138 Tyresö,Centerpartiet,4.9
0138 Tyresö,Folkpartiet,9.3
0138 Tyresö,Kristdemokraterna,5.9
0138 Tyresö,Miljöpartiet,6.1
0138 Tyresö,Socialdemokraterna,26.2
0138 Tyresö,Vänsterpartiet,4.9
0138 Tyresö,Sverigedemokraterna,1.5
0138 Tyresö,övriga partier,2.6
0138 Tyresö,ogiltiga valsedlar,..
0138 Tyresö,ej röstande,..
0139 Upplands-Bro,Moderaterna,31.9
0139 Upplands-Bro,Centerpartiet,4.4
0139 Upplands-Bro,Folkpartiet,7.7
0139 Upplands-Bro,Kristdemokraterna,8.4
0139 Upplands-Bro,Miljöpartiet,5
0139 Upplands-Bro,Socialdemokraterna,32.4
0139 Upplands-Bro,Vänsterpartiet,5.7
0139 Upplands-Bro,Sverigedemokraterna,2.6
0139 Upplands-Bro,övriga partier,1.9
0139 Upplands-Bro,ogiltiga valsedlar,..
0139 Upplands-Bro,ej röstande,..
0140 Nykvarn,Moderaterna,34.6
0140 Nykvarn,Centerpartiet,7.1
0140 Nykvarn,Folkpartiet,7.2
0140 Nykvarn,Kristdemokraterna,5.8
0140 Nykvarn,Miljöpartiet,4.1
0140 Nykvarn,Socialdemokraterna,32.6
0140 Nykvarn,Vänsterpartiet,2.8
0140 Nykvarn,Sverigedemokraterna,2.9
0140 Nykvarn,övriga partier,2.9
0140 Nykvarn,ogiltiga valsedlar,..
0140 Nykvarn,ej röstande,..
0160 Täby,Moderaterna,53.8
0160 Täby,Centerpartiet,5.2
0160 Täby,Folkpartiet,11.2
0160 Täby,Kristdemokraterna,7.5
0160 Täby,Miljöpartiet,3.8
0160 Täby,Socialdemokraterna,13.8
0160 Täby,Vänsterpartiet,2.1
0160 Täby,Sverigedemokraterna,1.1
0160 Täby,övriga partier,1.5
0160 Täby,ogiltiga valsedlar,..
0160 Täby,ej röstande,..
0162 Danderyd,Moderaterna,59.7
0162 Danderyd,Centerpartiet,6.3
0162 Danderyd,Folkpartiet,10.6
0162 Danderyd,Kristdemokraterna,9.4
0162 Danderyd,Miljöpartiet,3
0162 Danderyd,Socialdemokraterna,7.8
0162 Danderyd,Vänsterpartiet,1.2
0162 Danderyd,Sverigedemokraterna,0.7
0162 Danderyd,övriga partier,1.2
0162 Danderyd,ogiltiga valsedlar,..
0162 Danderyd,ej röstande,..
0163 Sollentuna,Moderaterna,41.1
0163 Sollentuna,Centerpartiet,6
0163 Sollentuna,Folkpartiet,10.9
0163 Sollentuna,Kristdemokraterna,7.6
0163 Sollentuna,Miljöpartiet,5.2
0163 Sollentuna,Socialdemokraterna,21.8
0163 Sollentuna,Vänsterpartiet,4.1
0163 Sollentuna,Sverigedemokraterna,1.3
0163 Sollentuna,övriga partier,2
0163 Sollentuna,ogiltiga valsedlar,..
0163 Sollentuna,ej röstande,..
0180 Stockholm,Moderaterna,35.1
0180 Stockholm,Centerpartiet,5.6
0180 Stockholm,Folkpartiet,10
0180 Stockholm,Kristdemokraterna,5
0180 Stockholm,Miljöpartiet,9.3
0180 Stockholm,Socialdemokraterna,23.2
0180 Stockholm,Vänsterpartiet,7.4
0180 Stockholm,Sverigedemokraterna,1.6
0180 Stockholm,övriga partier,2.7
0180 Stockholm,ogiltiga valsedlar,..
0180 Stockholm,ej röstande,..
0181 Södertälje,Moderaterna,26.8
0181 Södertälje,Centerpartiet,5.4
0181 Södertälje,Folkpartiet,7.1
0181 Södertälje,Kristdemokraterna,7.2
0181 Södertälje,Miljöpartiet,6.4
0181 Södertälje,Socialdemokraterna,36
0181 Södertälje,Vänsterpartiet,5.6
0181 Södertälje,Sverigedemokraterna,1.9
0181 Södertälje,övriga partier,3.5
0181 Södertälje,ogiltiga valsedlar,..
0181 Södertälje,ej röstande,..
0182 Nacka,Moderaterna,43.8
0182 Nacka,Centerpartiet,5.7
0182 Nacka,Folkpartiet,10.2
0182 Nacka,Kristdemokraterna,6.3
0182 Nacka,Miljöpartiet,6.6
0182 Nacka,Socialdemokraterna,19.9
0182 Nacka,Vänsterpartiet,4.3
0182 Nacka,Sverigedemokraterna,1.3
0182 Nacka,övriga partier,1.9
0182 Nacka,ogiltiga valsedlar,..
0182 Nacka,ej röstande,..
0183 Sundbyberg,Moderaterna,33.4
0183 Sundbyberg,Centerpartiet,4.6
0183 Sundbyberg,Folkpartiet,9.2
0183 Sundbyberg,Kristdemokraterna,4.4
0183 Sundbyberg,Miljöpartiet,7
0183 Sundbyberg,Socialdemokraterna,29.8
0183 Sundbyberg,Vänsterpartiet,7
0183 Sundbyberg,Sverigedemokraterna,2.1
0183 Sundbyberg,övriga partier,2.6
0183 Sundbyberg,ogiltiga valsedlar,..
0183 Sundbyberg,ej röstande,..
0184 Solna,Moderaterna,37.8
0184 Solna,Centerpartiet,5.1
0184 Solna,Folkpartiet,10.7
0184 Solna,Kristdemokraterna,5.1
0184 Solna,Miljöpartiet,7
0184 Solna,Socialdemokraterna,24.4
0184 Solna,Vänsterpartiet,6
0184 Solna,Sverigedemokraterna,1.6
0184 Solna,övriga partier,2.3
0184 Solna,ogiltiga valsedlar,..
0184 Solna,ej röstande,..
0186 Lidingö,Moderaterna,52.9
0186 Lidingö,Centerpartiet,6.4
0186 Lidingö,Folkpartiet,11.9
0186 Lidingö,Kristdemokraterna,8.1
0186 Lidingö,Miljöpartiet,4.3
0186 Lidingö,Socialdemokraterna,11.5
0186 Lidingö,Vänsterpartiet,2.2
0186 Lidingö,Sverigedemokraterna,1.4
0186 Lidingö,övriga partier,1.2
0186 Lidingö,ogiltiga valsedlar,..
0186 Lidingö,ej röstande,..
0187 Vaxholm,Moderaterna,46.6
0187 Vaxholm,Centerpartiet,6.9
0187 Vaxholm,Folkpartiet,8.9
0187 Vaxholm,Kristdemokraterna,7.8
0187 Vaxholm,Miljöpartiet,6.9
0187 Vaxholm,Socialdemokraterna,17.2
0187 Vaxholm,Vänsterpartiet,2.9
0187 Vaxholm,Sverigedemokraterna,1.1
0187 Vaxholm,övriga partier,1.7
0187 Vaxholm,ogiltiga valsedlar,..
0187 Vaxholm,ej röstande,..
0188 Norrtälje,Moderaterna,32
0188 Norrtälje,Centerpartiet,9.5
0188 Norrtälje,Folkpartiet,6.7
0188 Norrtälje,Kristdemokraterna,6.3
0188 Norrtälje,Miljöpartiet,4.9
0188 Norrtälje,Socialdemokraterna,31.5
0188 Norrtälje,Vänsterpartiet,4.8
0188 Norrtälje,Sverigedemokraterna,2.1
0188 Norrtälje,övriga partier,2.2
0188 Norrtälje,ogiltiga valsedlar,..
0188 Norrtälje,ej röstande,..
0191 Sigtuna,Moderaterna,34.7
0191 Sigtuna,Centerpartiet,5.3
0191 Sigtuna,Folkpartiet,7.6
0191 Sigtuna,Kristdemokraterna,6.3
0191 Sigtuna,Miljöpartiet,4.5
0191 Sigtuna,Socialdemokraterna,32.9
0191 Sigtuna,Vänsterpartiet,4.1
0191 Sigtuna,Sverigedemokraterna,2.5
0191 Sigtuna,övriga partier,2.1
0191 Sigtuna,ogiltiga valsedlar,..
0191 Sigtuna,ej röstande,..
0192 Nynäshamn,Moderaterna,31.3
0192 Nynäshamn,Centerpartiet,5.1
0192 Nynäshamn,Folkpartiet,6.6
0192 Nynäshamn,Kristdemokraterna,6
0192 Nynäshamn,Miljöpartiet,5.2
0192 Nynäshamn,Socialdemokraterna,34.9
0192 Nynäshamn,Vänsterpartiet,5.7
0192 Nynäshamn,Sverigedemokraterna,3
0192 Nynäshamn,övriga partier,2.2
0192 Nynäshamn,ogiltiga valsedlar,..
0192 Nynäshamn,ej röstande,..
0305 Håbo,Moderaterna,39.6
0305 Håbo,Centerpartiet,5.9
0305 Håbo,Folkpartiet,6.8
0305 Håbo,Kristdemokraterna,6.3
0305 Håbo,Miljöpartiet,3.9
0305 Håbo,Socialdemokraterna,28.8
0305 Håbo,Vänsterpartiet,3.6
0305 Håbo,Sverigedemokraterna,2.3
0305 Håbo,övriga partier,2.7
0305 Håbo,ogiltiga valsedlar,..
0305 Håbo,ej röstande,..
0319 Älvkarleby,Moderaterna,14.6
0319 Älvkarleby,Centerpartiet,4.6
0319 Älvkarleby,Folkpartiet,5
0319 Älvkarleby,Kristdemokraterna,3.7
0319 Älvkarleby,Miljöpartiet,3.5
0319 Älvkarleby,Socialdemokraterna,54.4
0319 Älvkarleby,Vänsterpartiet,7.6
0319 Älvkarleby,Sverigedemokraterna,3.8
0319 Älvkarleby,övriga partier,2.9
0319 Älvkarleby,ogiltiga valsedlar,..
0319 Älvkarleby,ej röstande,..
0330 Knivsta,Moderaterna,34
0330 Knivsta,Centerpartiet,10.1
0330 Knivsta,Folkpartiet,9.9
0330 Knivsta,Kristdemokraterna,7.9
0330 Knivsta,Miljöpartiet,5.5
0330 Knivsta,Socialdemokraterna,24.3
0330 Knivsta,Vänsterpartiet,3.6
0330 Knivsta,Sverigedemokraterna,2.6
0330 Knivsta,övriga partier,2.2
0330 Knivsta,ogiltiga valsedlar,..
0330 Knivsta,ej röstande,..
0331 Heby,Moderaterna,18.9
0331 Heby,Centerpartiet,17
0331 Heby,Folkpartiet,5
0331 Heby,Kristdemokraterna,7.1
0331 Heby,Miljöpartiet,3.1
0331 Heby,Socialdemokraterna,36.7
0331 Heby,Vänsterpartiet,5.9
0331 Heby,Sverigedemokraterna,3.8
0331 Heby,övriga partier,2.4
0331 Heby,ogiltiga valsedlar,..
0331 Heby,ej röstande,..
0360 Tierp,Moderaterna,14.7
0360 Tierp,Centerpartiet,14.3
0360 Tierp,Folkpartiet,5.5
0360 Tierp,Kristdemokraterna,5.5
0360 Tierp,Miljöpartiet,3.6
0360 Tierp,Socialdemokraterna,45.8
0360 Tierp,Vänsterpartiet,5.5
0360 Tierp,Sverigedemokraterna,3.1
0360 Tierp,övriga partier,2
0360 Tierp,ogiltiga valsedlar,..
0360 Tierp,ej röstande,..
0380 Uppsala,Moderaterna,26.9
0380 Uppsala,Centerpartiet,8.6
0380 Uppsala,Folkpartiet,11.3
0380 Uppsala,Kristdemokraterna,7
0380 Uppsala,Miljöpartiet,7.8
0380 Uppsala,Socialdemokraterna,26.9
0380 Uppsala,Vänsterpartiet,6.5
0380 Uppsala,Sverigedemokraterna,2
0380 Uppsala,övriga partier,3
0380 Uppsala,ogiltiga valsedlar,..
0380 Uppsala,ej röstande,..
0381 Enköping,Moderaterna,29.1
0381 Enköping,Centerpartiet,12.5
0381 Enköping,Folkpartiet,5.2
0381 Enköping,Kristdemokraterna,5.9
0381 Enköping,Miljöpartiet,4.4
0381 Enköping,Socialdemokraterna,34.2
0381 Enköping,Vänsterpartiet,3.8
0381 Enköping,Sverigedemokraterna,2.2
0381 Enköping,övriga partier,2.7
0381 Enköping,ogiltiga valsedlar,..
0381 Enköping,ej röstande,..
0382 Östhammar,Moderaterna,23.5
0382 Östhammar,Centerpartiet,13.1
0382 Östhammar,Folkpartiet,6
0382 Östhammar,Kristdemokraterna,5.5
0382 Östhammar,Miljöpartiet,3.7
0382 Östhammar,Socialdemokraterna,39.4
0382 Östhammar,Vänsterpartiet,4.4
0382 Östhammar,Sverigedemokraterna,2.3
0382 Östhammar,övriga partier,2
0382 Östhammar,ogiltiga valsedlar,..
0382 Östhammar,ej röstande,..
0428 Vingåker,Moderaterna,18.4
0428 Vingåker,Centerpartiet,7.8
0428 Vingåker,Folkpartiet,4.1
0428 Vingåker,Kristdemokraterna,6.1
0428 Vingåker,Miljöpartiet,4.5
0428 Vingåker,Socialdemokraterna,51
0428 Vingåker,Vänsterpartiet,4
0428 Vingåker,Sverigedemokraterna,2.8
0428 Vingåker,övriga partier,1.3
0428 Vingåker,ogiltiga valsedlar,..
0428 Vingåker,ej röstande,..
0461 Gnesta,Moderaterna,26.1
0461 Gnesta,Centerpartiet,11.3
0461 Gnesta,Folkpartiet,5.5
0461 Gnesta,Kristdemokraterna,5.6
0461 Gnesta,Miljöpartiet,7.3
0461 Gnesta,Socialdemokraterna,34.5
0461 Gnesta,Vänsterpartiet,4.9
0461 Gnesta,Sverigedemokraterna,2.5
0461 Gnesta,övriga partier,2.3
0461 Gnesta,ogiltiga valsedlar,..
0461 Gnesta,ej röstande,..
0480 Nyköping,Moderaterna,23.6
0480 Nyköping,Centerpartiet,7.3
0480 Nyköping,Folkpartiet,6.7
0480 Nyköping,Kristdemokraterna,7.5
0480 Nyköping,Miljöpartiet,5.2
0480 Nyköping,Socialdemokraterna,40.4
0480 Nyköping,Vänsterpartiet,4.8
0480 Nyköping,Sverigedemokraterna,2.4
0480 Nyköping,övriga partier,2
0480 Nyköping,ogiltiga valsedlar,..
0480 Nyköping,ej röstande,..
0481 Oxelösund,Moderaterna,18.5
0481 Oxelösund,Centerpartiet,3.4
0481 Oxelösund,Folkpartiet,5.7
0481 Oxelösund,Kristdemokraterna,4.6
0481 Oxelösund,Miljöpartiet,4.7
0481 Oxelösund,Socialdemokraterna,50.7
0481 Oxelösund,Vänsterpartiet,8.1
0481 Oxelösund,Sverigedemokraterna,2.3
0481 Oxelösund,övriga partier,1.9
0481 Oxelösund,ogiltiga valsedlar,..
0481 Oxelösund,ej röstande,..
0482 Flen,Moderaterna,20.2
0482 Flen,Centerpartiet,8.7
0482 Flen,Folkpartiet,4.9
0482 Flen,Kristdemokraterna,5.6
0482 Flen,Miljöpartiet,4.3
0482 Flen,Socialdemokraterna,46.5
0482 Flen,Vänsterpartiet,5.4
0482 Flen,Sverigedemokraterna,2.7
0482 Flen,övriga partier,1.7
0482 Flen,ogiltiga valsedlar,..
0482 Flen,ej röstande,..
0483 Katrineholm,Moderaterna,19.1
0483 Katrineholm,Centerpartiet,6.7
0483 Katrineholm,Folkpartiet,7.2
0483 Katrineholm,Kristdemokraterna,5.7
0483 Katrineholm,Miljöpartiet,5.2
0483 Katrineholm,Socialdemokraterna,48
0483 Katrineholm,Vänsterpartiet,4.3
0483 Katrineholm,Sverigedemokraterna,2.4
0483 Katrineholm,övriga partier,1.5
0483 Katrineholm,ogiltiga valsedlar,..
0483 Katrineholm,ej röstande,..
0484 Eskilstuna,Moderaterna,21.6
0484 Eskilstuna,Centerpartiet,6
0484 Eskilstuna,Folkpartiet,6.9
0484 Eskilstuna,Kristdemokraterna,5.8
0484 Eskilstuna,Miljöpartiet,5.4
0484 Eskilstuna,Socialdemokraterna,44.1
0484 Eskilstuna,Vänsterpartiet,5.4
0484 Eskilstuna,Sverigedemokraterna,2.8
0484 Eskilstuna,övriga partier,2.1
0484 Eskilstuna,ogiltiga valsedlar,..
0484 Eskilstuna,ej röstande,..
0486 Strängnäs,Moderaterna,32.4
0486 Strängnäs,Centerpartiet,7.6
0486 Strängnäs,Folkpartiet,8.3
0486 Strängnäs,Kristdemokraterna,6.7
0486 Strängnäs,Miljöpartiet,4.7
0486 Strängnäs,Socialdemokraterna,32.5
0486 Strängnäs,Vänsterpartiet,3.7
0486 Strängnäs,Sverigedemokraterna,2.2
0486 Strängnäs,övriga partier,2
0486 Strängnäs,ogiltiga valsedlar,..
0486 Strängnäs,ej röstande,..
0488 Trosa,Moderaterna,35.2
0488 Trosa,Centerpartiet,6.3
0488 Trosa,Folkpartiet,7.9
0488 Trosa,Kristdemokraterna,7
0488 Trosa,Miljöpartiet,4.9
0488 Trosa,Socialdemokraterna,31
0488 Trosa,Vänsterpartiet,3.4
0488 Trosa,Sverigedemokraterna,1.9
0488 Trosa,övriga partier,2.4
0488 Trosa,ogiltiga valsedlar,..
0488 Trosa,ej röstande,..
0509 Ödeshög,Moderaterna,20.8
0509 Ödeshög,Centerpartiet,12.8
0509 Ödeshög,Folkpartiet,4
0509 Ödeshög,Kristdemokraterna,13.6
0509 Ödeshög,Miljöpartiet,3.8
0509 Ödeshög,Socialdemokraterna,35.7
0509 Ödeshög,Vänsterpartiet,3.8
0509 Ödeshög,Sverigedemokraterna,2.8
0509 Ödeshög,övriga partier,2.6
0509 Ödeshög,ogiltiga valsedlar,..
0509 Ödeshög,ej röstande,..
0512 Ydre,Moderaterna,20.3
0512 Ydre,Centerpartiet,19
0512 Ydre,Folkpartiet,4.3
0512 Ydre,Kristdemokraterna,14.4
0512 Ydre,Miljöpartiet,3.8
0512 Ydre,Socialdemokraterna,30.8
0512 Ydre,Vänsterpartiet,3.6
0512 Ydre,Sverigedemokraterna,2.6
0512 Ydre,övriga partier,1.2
0512 Ydre,ogiltiga valsedlar,..
0512 Ydre,ej röstande,..
0513 Kinda,Moderaterna,20.8
0513 Kinda,Centerpartiet,16.2
0513 Kinda,Folkpartiet,3.7
0513 Kinda,Kristdemokraterna,8.4
0513 Kinda,Miljöpartiet,4
0513 Kinda,Socialdemokraterna,38
0513 Kinda,Vänsterpartiet,4.2
0513 Kinda,Sverigedemokraterna,2.5
0513 Kinda,övriga partier,2.3
0513 Kinda,ogiltiga valsedlar,..
0513 Kinda,ej röstande,..
0560 Boxholm,Moderaterna,13.5
0560 Boxholm,Centerpartiet,11.2
0560 Boxholm,Folkpartiet,2.9
0560 Boxholm,Kristdemokraterna,8
0560 Boxholm,Miljöpartiet,3
0560 Boxholm,Socialdemokraterna,50.5
0560 Boxholm,Vänsterpartiet,5.5
0560 Boxholm,Sverigedemokraterna,2.5
0560 Boxholm,övriga partier,2.9
0560 Boxholm,ogiltiga valsedlar,..
0560 Boxholm,ej röstande,..
0561 Åtvidaberg,Moderaterna,19.8
0561 Åtvidaberg,Centerpartiet,10.3
0561 Åtvidaberg,Folkpartiet,4.2
0561 Åtvidaberg,Kristdemokraterna,7
0561 Åtvidaberg,Miljöpartiet,3.1
0561 Åtvidaberg,Socialdemokraterna,46.4
0561 Åtvidaberg,Vänsterpartiet,4.7
0561 Åtvidaberg,Sverigedemokraterna,2.2
0561 Åtvidaberg,övriga partier,2.4
0561 Åtvidaberg,ogiltiga valsedlar,..
0561 Åtvidaberg,ej röstande,..
0562 Finspång,Moderaterna,18
0562 Finspång,Centerpartiet,7
0562 Finspång,Folkpartiet,4.7
0562 Finspång,Kristdemokraterna,7
0562 Finspång,Miljöpartiet,4.1
0562 Finspång,Socialdemokraterna,47.1
0562 Finspång,Vänsterpartiet,6.6
0562 Finspång,Sverigedemokraterna,2.7
0562 Finspång,övriga partier,2.8
0562 Finspång,ogiltiga valsedlar,..
0562 Finspång,ej röstande,..
0563 Valdemarsvik,Moderaterna,22.9
0563 Valdemarsvik,Centerpartiet,14.7
0563 Valdemarsvik,Folkpartiet,4.2
0563 Valdemarsvik,Kristdemokraterna,6.6
0563 Valdemarsvik,Miljöpartiet,2.7
0563 Valdemarsvik,Socialdemokraterna,40.2
0563 Valdemarsvik,Vänsterpartiet,4
0563 Valdemarsvik,Sverigedemokraterna,2.5
0563 Valdemarsvik,övriga partier,2.3
0563 Valdemarsvik,ogiltiga valsedlar,..
0563 Valdemarsvik,ej röstande,..
0580 Linköping,Moderaterna,27.4
0580 Linköping,Centerpartiet,7.2
0580 Linköping,Folkpartiet,8.6
0580 Linköping,Kristdemokraterna,7.7
0580 Linköping,Miljöpartiet,6.2
0580 Linköping,Socialdemokraterna,32.8
0580 Linköping,Vänsterpartiet,4.8
0580 Linköping,Sverigedemokraterna,1.7
0580 Linköping,övriga partier,3.7
0580 Linköping,ogiltiga valsedlar,..
0580 Linköping,ej röstande,..
0581 Norrköping,Moderaterna,26.1
0581 Norrköping,Centerpartiet,5.6
0581 Norrköping,Folkpartiet,6
0581 Norrköping,Kristdemokraterna,6.4
0581 Norrköping,Miljöpartiet,5.5
0581 Norrköping,Socialdemokraterna,37.1
0581 Norrköping,Vänsterpartiet,5.8
0581 Norrköping,Sverigedemokraterna,2.8
0581 Norrköping,övriga partier,4.6
0581 Norrköping,ogiltiga valsedlar,..
0581 Norrköping,ej röstande,..
0582 Söderköping,Moderaterna,28.6
0582 Söderköping,Centerpartiet,11.7
0582 Söderköping,Folkpartiet,5.3
0582 Söderköping,Kristdemokraterna,7.6
0582 Söderköping,Miljöpartiet,5.3
0582 Söderköping,Socialdemokraterna,30.9
0582 Söderköping,Vänsterpartiet,4.4
0582 Söderköping,Sverigedemokraterna,2.7
0582 Söderköping,övriga partier,3.5
0582 Söderköping,ogiltiga valsedlar,..
0582 Söderköping,ej röstande,..
0583 Motala,Moderaterna,21
0583 Motala,Centerpartiet,6.2
0583 Motala,Folkpartiet,6.1
0583 Motala,Kristdemokraterna,5.9
0583 Motala,Miljöpartiet,4
0583 Motala,Socialdemokraterna,44.1
0583 Motala,Vänsterpartiet,5.8
0583 Motala,Sverigedemokraterna,2.6
0583 Motala,övriga partier,4.3
0583 Motala,ogiltiga valsedlar,..
0583 Motala,ej röstande,..
0584 Vadstena,Moderaterna,27.9
0584 Vadstena,Centerpartiet,8.1
0584 Vadstena,Folkpartiet,5.4
0584 Vadstena,Kristdemokraterna,8
0584 Vadstena,Miljöpartiet,4.2
0584 Vadstena,Socialdemokraterna,36
0584 Vadstena,Vänsterpartiet,4.3
0584 Vadstena,Sverigedemokraterna,2.6
0584 Vadstena,övriga partier,3.4
0584 Vadstena,ogiltiga valsedlar,..
0584 Vadstena,ej röstande,..
0586 Mjölby,Moderaterna,21.5
0586 Mjölby,Centerpartiet,8.6
0586 Mjölby,Folkpartiet,5.5
0586 Mjölby,Kristdemokraterna,7.2
0586 Mjölby,Miljöpartiet,3.2
0586 Mjölby,Socialdemokraterna,42.9
0586 Mjölby,Vänsterpartiet,4.6
0586 Mjölby,Sverigedemokraterna,2
0586 Mjölby,övriga partier,4.5
0586 Mjölby,ogiltiga valsedlar,..
0586 Mjölby,ej röstande,..
0604 Aneby,Moderaterna,17.6
0604 Aneby,Centerpartiet,13.1
0604 Aneby,Folkpartiet,4.9
0604 Aneby,Kristdemokraterna,22
0604 Aneby,Miljöpartiet,2.8
0604 Aneby,Socialdemokraterna,31.5
0604 Aneby,Vänsterpartiet,3.2
0604 Aneby,Sverigedemokraterna,3.3
0604 Aneby,övriga partier,1.6
0604 Aneby,ogiltiga valsedlar,..
0604 Aneby,ej röstande,..
0617 Gnosjö,Moderaterna,21.5
0617 Gnosjö,Centerpartiet,7.5
0617 Gnosjö,Folkpartiet,4
0617 Gnosjö,Kristdemokraterna,25.1
0617 Gnosjö,Miljöpartiet,2.3
0617 Gnosjö,Socialdemokraterna,31.7
0617 Gnosjö,Vänsterpartiet,2.5
0617 Gnosjö,Sverigedemokraterna,3.7
0617 Gnosjö,övriga partier,1.8
0617 Gnosjö,ogiltiga valsedlar,..
0617 Gnosjö,ej röstande,..
0642 Mullsjö,Moderaterna,20.9
0642 Mullsjö,Centerpartiet,7.2
0642 Mullsjö,Folkpartiet,5
0642 Mullsjö,Kristdemokraterna,19.8
0642 Mullsjö,Miljöpartiet,4.1
0642 Mullsjö,Socialdemokraterna,32.6
0642 Mullsjö,Vänsterpartiet,4.8
0642 Mullsjö,Sverigedemokraterna,3
0642 Mullsjö,övriga partier,2.8
0642 Mullsjö,ogiltiga valsedlar,..
0642 Mullsjö,ej röstande,..
0643 Habo,Moderaterna,24.8
0643 Habo,Centerpartiet,7
0643 Habo,Folkpartiet,5.6
0643 Habo,Kristdemokraterna,19.4
