region,parti,procent
0160 Täby,Miljöpartiet,6.1
0160 Täby,Socialdemokraterna,12.5
0160 Täby,Vänsterpartiet,2.2
0160 Täby,Sverigedemokraterna,6.4
0160 Täby,övriga partier,2.7
0160 Täby,ogiltiga valsedlar,..
0160 Täby,ej röstande,..
0162 Danderyd,Moderaterna,50
0162 Danderyd,Centerpartiet,7.1
0162 Danderyd,Folkpartiet,11.9
0162 Danderyd,Kristdemokraterna,10.5
0162 Danderyd,Miljöpartiet,4.7
0162 Danderyd,Socialdemokraterna,6.8
0162 Danderyd,Vänsterpartiet,1.3
0162 Danderyd,Sverigedemokraterna,5.3
0162 Danderyd,övriga partier,2.4
0162 Danderyd,ogiltiga valsedlar,..
0162 Danderyd,ej röstande,..
0163 Sollentuna,Moderaterna,36.1
0163 Sollentuna,Centerpartiet,5.6
0163 Sollentuna,Folkpartiet,8.8
0163 Sollentuna,Kristdemokraterna,6.4
0163 Sollentuna,Miljöpartiet,8.2
0163 Sollentuna,Socialdemokraterna,20.2
0163 Sollentuna,Vänsterpartiet,4.2
0163 Sollentuna,Sverigedemokraterna,7.1
0163 Sollentuna,övriga partier,3.4
0163 Sollentuna,ogiltiga valsedlar,..
0163 Sollentuna,ej röstande,..
0180 Stockholm,Moderaterna,27.7
0180 Stockholm,Centerpartiet,4.9
0180 Stockholm,Folkpartiet,7.9
0180 Stockholm,Kristdemokraterna,4.3
0180 Stockholm,Miljöpartiet,11.1
0180 Stockholm,Socialdemokraterna,21.6
0180 Stockholm,Vänsterpartiet,7.7
0180 Stockholm,Sverigedemokraterna,6.6
0180 Stockholm,övriga partier,8.1
0180 Stockholm,ogiltiga valsedlar,..
0180 Stockholm,ej röstande,..
0181 Södertälje,Moderaterna,23.1
0181 Södertälje,Centerpartiet,3.8
0181 Södertälje,Folkpartiet,4.6
0181 Södertälje,Kristdemokraterna,6.9
0181 Södertälje,Miljöpartiet,7.3
0181 Södertälje,Socialdemokraterna,32
0181 Södertälje,Vänsterpartiet,5.8
0181 Södertälje,Sverigedemokraterna,12.3
0181 Södertälje,övriga partier,4.1
0181 Södertälje,ogiltiga valsedlar,..
0181 Södertälje,ej röstande,..
0182 Nacka,Moderaterna,37.1
0182 Nacka,Centerpartiet,6.3
0182 Nacka,Folkpartiet,8.5
0182 Nacka,Kristdemokraterna,5.2
0182 Nacka,Miljöpartiet,9.6
0182 Nacka,Socialdemokraterna,17.7
0182 Nacka,Vänsterpartiet,4.3
0182 Nacka,Sverigedemokraterna,6.5
0182 Nacka,övriga partier,4.7
0182 Nacka,ogiltiga valsedlar,..
0182 Nacka,ej röstande,..
0183 Sundbyberg,Moderaterna,27.1
0183 Sundbyberg,Centerpartiet,4.2
0183 Sundbyberg,Folkpartiet,6.2
0183 Sundbyberg,Kristdemokraterna,3.6
0183 Sundbyberg,Miljöpartiet,10.1
0183 Sundbyberg,Socialdemokraterna,27.7
0183 Sundbyberg,Vänsterpartiet,7.1
0183 Sundbyberg,Sverigedemokraterna,9.2
0183 Sundbyberg,övriga partier,4.9
0183 Sundbyberg,ogiltiga valsedlar,..
0183 Sundbyberg,ej röstande,..
0184 Solna,Moderaterna,29.9
0184 Solna,Centerpartiet,4.9
0184 Solna,Folkpartiet,8.1
0184 Solna,Kristdemokraterna,4.4
0184 Solna,Miljöpartiet,10
0184 Solna,Socialdemokraterna,22.5
0184 Solna,Vänsterpartiet,6.7
0184 Solna,Sverigedemokraterna,7.7
0184 Solna,övriga partier,5.7
0184 Solna,ogiltiga valsedlar,..
0184 Solna,ej röstande,..
0186 Lidingö,Moderaterna,44.7
0186 Lidingö,Centerpartiet,7
0186 Lidingö,Folkpartiet,11.6
0186 Lidingö,Kristdemokraterna,7.9
0186 Lidingö,Miljöpartiet,6.4
0186 Lidingö,Socialdemokraterna,11
0186 Lidingö,Vänsterpartiet,2
0186 Lidingö,Sverigedemokraterna,6.4
0186 Lidingö,övriga partier,2.9
0186 Lidingö,ogiltiga valsedlar,..
0186 Lidingö,ej röstande,..
0187 Vaxholm,Moderaterna,41.1
0187 Vaxholm,Centerpartiet,7.9
0187 Vaxholm,Folkpartiet,8.7
0187 Vaxholm,Kristdemokraterna,5.5
0187 Vaxholm,Miljöpartiet,8.5
0187 Vaxholm,Socialdemokraterna,15.2
0187 Vaxholm,Vänsterpartiet,3.2
0187 Vaxholm,Sverigedemokraterna,6.7
0187 Vaxholm,övriga partier,3.3
0187 Vaxholm,ogiltiga valsedlar,..
0187 Vaxholm,ej röstande,..
0188 Norrtälje,Moderaterna,27.9
0188 Norrtälje,Centerpartiet,7.4
0188 Norrtälje,Folkpartiet,4.6
0188 Norrtälje,Kristdemokraterna,3.6
0188 Norrtälje,Miljöpartiet,6.3
0188 Norrtälje,Socialdemokraterna,29.9
0188 Norrtälje,Vänsterpartiet,4.5
0188 Norrtälje,Sverigedemokraterna,12.4
0188 Norrtälje,övriga partier,3.4
0188 Norrtälje,ogiltiga valsedlar,..
0188 Norrtälje,ej röstande,..
0191 Sigtuna,Moderaterna,30.2
0191 Sigtuna,Centerpartiet,4.3
0191 Sigtuna,Folkpartiet,5
0191 Sigtuna,Kristdemokraterna,5.2
0191 Sigtuna,Miljöpartiet,6.5
0191 Sigtuna,Socialdemokraterna,28.3
0191 Sigtuna,Vänsterpartiet,4.6
0191 Sigtuna,Sverigedemokraterna,12.8
0191 Sigtuna,övriga partier,3.1
0191 Sigtuna,ogiltiga valsedlar,..
0191 Sigtuna,ej röstande,..
0192 Nynäshamn,Moderaterna,26.4
0192 Nynäshamn,Centerpartiet,4.3
0192 Nynäshamn,Folkpartiet,5.3
0192 Nynäshamn,Kristdemokraterna,3.8
0192 Nynäshamn,Miljöpartiet,6.4
0192 Nynäshamn,Socialdemokraterna,30.6
0192 Nynäshamn,Vänsterpartiet,5.1
0192 Nynäshamn,Sverigedemokraterna,14.7
0192 Nynäshamn,övriga partier,3.3
0192 Nynäshamn,ogiltiga valsedlar,..
0192 Nynäshamn,ej röstande,..
0305 Håbo,Moderaterna,33.8
0305 Håbo,Centerpartiet,4.9
0305 Håbo,Folkpartiet,4.9
0305 Håbo,Kristdemokraterna,4.3
0305 Håbo,Miljöpartiet,5.6
0305 Håbo,Socialdemokraterna,25.7
0305 Håbo,Vänsterpartiet,3.4
0305 Håbo,Sverigedemokraterna,14.9
0305 Håbo,övriga partier,2.7
0305 Håbo,ogiltiga valsedlar,..
0305 Håbo,ej röstande,..
0319 Älvkarleby,Moderaterna,12.8
0319 Älvkarleby,Centerpartiet,3.1
0319 Älvkarleby,Folkpartiet,2.8
0319 Älvkarleby,Kristdemokraterna,2.2
0319 Älvkarleby,Miljöpartiet,3.8
0319 Älvkarleby,Socialdemokraterna,47.1
0319 Älvkarleby,Vänsterpartiet,6.2
0319 Älvkarleby,Sverigedemokraterna,19.8
0319 Älvkarleby,övriga partier,2.2
0319 Älvkarleby,ogiltiga valsedlar,..
0319 Älvkarleby,ej röstande,..
0330 Knivsta,Moderaterna,30.6
0330 Knivsta,Centerpartiet,8
0330 Knivsta,Folkpartiet,6.5
0330 Knivsta,Kristdemokraterna,6.7
0330 Knivsta,Miljöpartiet,8
0330 Knivsta,Socialdemokraterna,21.7
0330 Knivsta,Vänsterpartiet,3.9
0330 Knivsta,Sverigedemokraterna,10.8
0330 Knivsta,övriga partier,3.7
0330 Knivsta,ogiltiga valsedlar,..
0330 Knivsta,ej röstande,..
0331 Heby,Moderaterna,16.4
0331 Heby,Centerpartiet,13.1
0331 Heby,Folkpartiet,2.7
0331 Heby,Kristdemokraterna,4.8
0331 Heby,Miljöpartiet,3.6
0331 Heby,Socialdemokraterna,35.5
0331 Heby,Vänsterpartiet,4.6
0331 Heby,Sverigedemokraterna,16.5
0331 Heby,övriga partier,2.9
0331 Heby,ogiltiga valsedlar,..
0331 Heby,ej röstande,..
0360 Tierp,Moderaterna,15.1
0360 Tierp,Centerpartiet,9.7
0360 Tierp,Folkpartiet,2.9
0360 Tierp,Kristdemokraterna,2.9
0360 Tierp,Miljöpartiet,4.2
0360 Tierp,Socialdemokraterna,42.6
0360 Tierp,Vänsterpartiet,5.1
0360 Tierp,Sverigedemokraterna,14.3
0360 Tierp,övriga partier,3.3
0360 Tierp,ogiltiga valsedlar,..
0360 Tierp,ej röstande,..
0380 Uppsala,Moderaterna,22.3
0380 Uppsala,Centerpartiet,5.9
0380 Uppsala,Folkpartiet,7.4
0380 Uppsala,Kristdemokraterna,5.2
0380 Uppsala,Miljöpartiet,10.6
0380 Uppsala,Socialdemokraterna,25.9
0380 Uppsala,Vänsterpartiet,7.7
0380 Uppsala,Sverigedemokraterna,8.1
0380 Uppsala,övriga partier,6.8
0380 Uppsala,ogiltiga valsedlar,..
0380 Uppsala,ej röstande,..
0381 Enköping,Moderaterna,26.5
0381 Enköping,Centerpartiet,8.9
0381 Enköping,Folkpartiet,5
0381 Enköping,Kristdemokraterna,4
0381 Enköping,Miljöpartiet,5.5
0381 Enköping,Socialdemokraterna,30.2
0381 Enköping,Vänsterpartiet,3.7
0381 Enköping,Sverigedemokraterna,13.5
0381 Enköping,övriga partier,2.7
0381 Enköping,ogiltiga valsedlar,..
0381 Enköping,ej röstande,..
0382 Östhammar,Moderaterna,21
0382 Östhammar,Centerpartiet,9
0382 Östhammar,Folkpartiet,4.2
0382 Östhammar,Kristdemokraterna,3.2
0382 Östhammar,Miljöpartiet,3.7
0382 Östhammar,Socialdemokraterna,38.2
0382 Östhammar,Vänsterpartiet,4.3
0382 Östhammar,Sverigedemokraterna,13.2
0382 Östhammar,övriga partier,3.3
0382 Östhammar,ogiltiga valsedlar,..
0382 Östhammar,ej röstande,..
0428 Vingåker,Moderaterna,16.6
0428 Vingåker,Centerpartiet,6.4
0428 Vingåker,Folkpartiet,2.6
0428 Vingåker,Kristdemokraterna,3.5
0428 Vingåker,Miljöpartiet,4.6
0428 Vingåker,Socialdemokraterna,39
0428 Vingåker,Vänsterpartiet,4
0428 Vingåker,Sverigedemokraterna,20.5
0428 Vingåker,övriga partier,2.7
0428 Vingåker,ogiltiga valsedlar,..
0428 Vingåker,ej röstande,..
0461 Gnesta,Moderaterna,23.4
0461 Gnesta,Centerpartiet,8.7
0461 Gnesta,Folkpartiet,3.3
0461 Gnesta,Kristdemokraterna,2.9
0461 Gnesta,Miljöpartiet,7.7
0461 Gnesta,Socialdemokraterna,30.2
0461 Gnesta,Vänsterpartiet,5.9
0461 Gnesta,Sverigedemokraterna,13.2
0461 Gnesta,övriga partier,4.6
0461 Gnesta,ogiltiga valsedlar,..
0461 Gnesta,ej röstande,..
0480 Nyköping,Moderaterna,23
0480 Nyköping,Centerpartiet,6
0480 Nyköping,Folkpartiet,4.5
0480 Nyköping,Kristdemokraterna,4.4
0480 Nyköping,Miljöpartiet,7.5
0480 Nyköping,Socialdemokraterna,34
0480 Nyköping,Vänsterpartiet,4.8
0480 Nyköping,Sverigedemokraterna,12.5
0480 Nyköping,övriga partier,3.3
0480 Nyköping,ogiltiga valsedlar,..
0480 Nyköping,ej röstande,..
0481 Oxelösund,Moderaterna,17.1
0481 Oxelösund,Centerpartiet,2.7
0481 Oxelösund,Folkpartiet,3.4
0481 Oxelösund,Kristdemokraterna,2.8
0481 Oxelösund,Miljöpartiet,5.2
0481 Oxelösund,Socialdemokraterna,44.1
0481 Oxelösund,Vänsterpartiet,8
0481 Oxelösund,Sverigedemokraterna,14
0481 Oxelösund,övriga partier,2.7
0481 Oxelösund,ogiltiga valsedlar,..
0481 Oxelösund,ej röstande,..
0482 Flen,Moderaterna,18.7
0482 Flen,Centerpartiet,7.5
0482 Flen,Folkpartiet,3.4
0482 Flen,Kristdemokraterna,3.5
0482 Flen,Miljöpartiet,4.9
0482 Flen,Socialdemokraterna,36.2
0482 Flen,Vänsterpartiet,5.4
0482 Flen,Sverigedemokraterna,17.8
0482 Flen,övriga partier,2.5
0482 Flen,ogiltiga valsedlar,..
0482 Flen,ej röstande,..
0483 Katrineholm,Moderaterna,19
0483 Katrineholm,Centerpartiet,6.4
0483 Katrineholm,Folkpartiet,4.2
0483 Katrineholm,Kristdemokraterna,3.5
0483 Katrineholm,Miljöpartiet,6
0483 Katrineholm,Socialdemokraterna,39.5
0483 Katrineholm,Vänsterpartiet,4.7
0483 Katrineholm,Sverigedemokraterna,14.3
0483 Katrineholm,övriga partier,2.4
0483 Katrineholm,ogiltiga valsedlar,..
0483 Katrineholm,ej röstande,..
0484 Eskilstuna,Moderaterna,21.3
0484 Eskilstuna,Centerpartiet,4.3
0484 Eskilstuna,Folkpartiet,4.4
0484 Eskilstuna,Kristdemokraterna,3.6
0484 Eskilstuna,Miljöpartiet,6.1
0484 Eskilstuna,Socialdemokraterna,35.5
0484 Eskilstuna,Vänsterpartiet,5.4
0484 Eskilstuna,Sverigedemokraterna,16.6
0484 Eskilstuna,övriga partier,2.9
0484 Eskilstuna,ogiltiga valsedlar,..
0484 Eskilstuna,ej röstande,..
0486 Strängnäs,Moderaterna,28.8
0486 Strängnäs,Centerpartiet,5.5
0486 Strängnäs,Folkpartiet,5.4
0486 Strängnäs,Kristdemokraterna,4.9
0486 Strängnäs,Miljöpartiet,5.9
0486 Strängnäs,Socialdemokraterna,27.5
0486 Strängnäs,Vänsterpartiet,4.6
0486 Strängnäs,Sverigedemokraterna,14.7
0486 Strängnäs,övriga partier,2.7
0486 Strängnäs,ogiltiga valsedlar,..
0486 Strängnäs,ej röstande,..
0488 Trosa,Moderaterna,32.3
0488 Trosa,Centerpartiet,6.4
0488 Trosa,Folkpartiet,5.1
0488 Trosa,Kristdemokraterna,4.3
0488 Trosa,Miljöpartiet,6.6
0488 Trosa,Socialdemokraterna,26.6
0488 Trosa,Vänsterpartiet,3.5
0488 Trosa,Sverigedemokraterna,12.2
0488 Trosa,övriga partier,3.1
0488 Trosa,ogiltiga valsedlar,..
0488 Trosa,ej röstande,..
0509 Ödeshög,Moderaterna,18.4
0509 Ödeshög,Centerpartiet,9.4
0509 Ödeshög,Folkpartiet,2.7
0509 Ödeshög,Kristdemokraterna,10
0509 Ödeshög,Miljöpartiet,4.9
0509 Ödeshög,Socialdemokraterna,31.5
0509 Ödeshög,Vänsterpartiet,3
0509 Ödeshög,Sverigedemokraterna,17.4
0509 Ödeshög,övriga partier,2.7
0509 Ödeshög,ogiltiga valsedlar,..
0509 Ödeshög,ej röstande,..
0512 Ydre,Moderaterna,17.7
0512 Ydre,Centerpartiet,16.4
0512 Ydre,Folkpartiet,3.4
0512 Ydre,Kristdemokraterna,9.7
0512 Ydre,Miljöpartiet,4.3
0512 Ydre,Socialdemokraterna,29.1
0512 Ydre,Vänsterpartiet,3.2
0512 Ydre,Sverigedemokraterna,14.3
0512 Ydre,övriga partier,1.9
0512 Ydre,ogiltiga valsedlar,..
0512 Ydre,ej röstande,..
0513 Kinda,Moderaterna,19.2
