region,parti,procent
0114 Upplands Väsby,Moderaterna,36.7
0114 Upplands Väsby,Centerpartiet,4
0114 Upplands Väsby,Folkpartiet,8.3
0114 Upplands Väsby,Kristdemokraterna,5.5
0114 Upplands Väsby,Miljöpartiet,7
0114 Upplands Väsby,Socialdemokraterna,27.2
0114 Upplands Väsby,Vänsterpartiet,5.2
0114 Upplands Väsby,Sverigedemokraterna,4.8
0114 Upplands Väsby,övriga partier,1.3
0114 Upplands Väsby,ogiltiga valsedlar,..
0114 Upplands Väsby,ej röstande,..
0115 Vallentuna,Moderaterna,44.5
0115 Vallentuna,Centerpartiet,7.3
0115 Vallentuna,Folkpartiet,8.7
0115 Vallentuna,Kristdemokraterna,6.5
0115 Vallentuna,Miljöpartiet,7.7
0115 Vallentuna,Socialdemokraterna,16.9
0115 Vallentuna,Vänsterpartiet,3
0115 Vallentuna,Sverigedemokraterna,4
0115 Vallentuna,övriga partier,1.4
0115 Vallentuna,ogiltiga valsedlar,..
0115 Vallentuna,ej röstande,..
0117 Österåker,Moderaterna,45.5
0117 Österåker,Centerpartiet,5.8
0117 Österåker,Folkpartiet,9.2
0117 Österåker,Kristdemokraterna,6.2
0117 Österåker,Miljöpartiet,7.5
0117 Österåker,Socialdemokraterna,17.8
0117 Österåker,Vänsterpartiet,3.3
0117 Österåker,Sverigedemokraterna,3.5
0117 Österåker,övriga partier,1.2
0117 Österåker,ogiltiga valsedlar,..
0117 Österåker,ej röstande,..
0120 Värmdö,Moderaterna,45.9
0120 Värmdö,Centerpartiet,5.8
0120 Värmdö,Folkpartiet,7.6
0120 Värmdö,Kristdemokraterna,5.4
0120 Värmdö,Miljöpartiet,8.6
0120 Värmdö,Socialdemokraterna,17.6
0120 Värmdö,Vänsterpartiet,3.6
0120 Värmdö,Sverigedemokraterna,4.1
0120 Värmdö,övriga partier,1.3
0120 Värmdö,ogiltiga valsedlar,..
0120 Värmdö,ej röstande,..
0123 Järfälla,Moderaterna,36.4
0123 Järfälla,Centerpartiet,4.2
0123 Järfälla,Folkpartiet,8.4
0123 Järfälla,Kristdemokraterna,6
0123 Järfälla,Miljöpartiet,7.8
0123 Järfälla,Socialdemokraterna,25.7
0123 Järfälla,Vänsterpartiet,5.3
0123 Järfälla,Sverigedemokraterna,4.8
0123 Järfälla,övriga partier,1.4
0123 Järfälla,ogiltiga valsedlar,..
0123 Järfälla,ej röstande,..
0125 Ekerö,Moderaterna,47.1
0125 Ekerö,Centerpartiet,7.3
0125 Ekerö,Folkpartiet,9.3
0125 Ekerö,Kristdemokraterna,7.1
0125 Ekerö,Miljöpartiet,8.2
0125 Ekerö,Socialdemokraterna,13.2
0125 Ekerö,Vänsterpartiet,3.2
0125 Ekerö,Sverigedemokraterna,3.4
0125 Ekerö,övriga partier,1.1
0125 Ekerö,ogiltiga valsedlar,..
0125 Ekerö,ej röstande,..
0126 Huddinge,Moderaterna,38.7
0126 Huddinge,Centerpartiet,4.4
0126 Huddinge,Folkpartiet,7.7
0126 Huddinge,Kristdemokraterna,5.2
0126 Huddinge,Miljöpartiet,7.6
0126 Huddinge,Socialdemokraterna,24.8
0126 Huddinge,Vänsterpartiet,5.3
0126 Huddinge,Sverigedemokraterna,4.8
0126 Huddinge,övriga partier,1.5
0126 Huddinge,ogiltiga valsedlar,..
0126 Huddinge,ej röstande,..
0127 Botkyrka,Moderaterna,30
0127 Botkyrka,Centerpartiet,2.8
0127 Botkyrka,Folkpartiet,6.2
0127 Botkyrka,Kristdemokraterna,5.1
0127 Botkyrka,Miljöpartiet,6.9
0127 Botkyrka,Socialdemokraterna,35.7
0127 Botkyrka,Vänsterpartiet,7.1
0127 Botkyrka,Sverigedemokraterna,4.9
0127 Botkyrka,övriga partier,1.4
0127 Botkyrka,ogiltiga valsedlar,..
0127 Botkyrka,ej röstande,..
0128 Salem,Moderaterna,38.6
0128 Salem,Centerpartiet,5.7
0128 Salem,Folkpartiet,9.2
0128 Salem,Kristdemokraterna,5.4
0128 Salem,Miljöpartiet,7.8
0128 Salem,Socialdemokraterna,22.6
0128 Salem,Vänsterpartiet,4
0128 Salem,Sverigedemokraterna,5.2
0128 Salem,övriga partier,1.4
0128 Salem,ogiltiga valsedlar,..
0128 Salem,ej röstande,..
0136 Haninge,Moderaterna,36.8
0136 Haninge,Centerpartiet,3.9
0136 Haninge,Folkpartiet,6.9
0136 Haninge,Kristdemokraterna,4.5
0136 Haninge,Miljöpartiet,7.3
0136 Haninge,Socialdemokraterna,28
0136 Haninge,Vänsterpartiet,5
0136 Haninge,Sverigedemokraterna,5.7
0136 Haninge,övriga partier,1.9
0136 Haninge,ogiltiga valsedlar,..
